psi,s2,q2,s3,q3,rho,tE,cad,bin_box,planet_box,contour_threshold,alpha_density,n_pot
90.0,0.2,0.925,1.2,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,1.3833333333333333,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,1.3833333333333333,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,1.3833333333333333,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,1.3833333333333333,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,1.5666666666666667,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
30.0,0.2,0.925,1.5666666666666667,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
60.0,0.2,0.925,1.5666666666666667,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
90.0,0.2,0.925,1.5666666666666667,1e-06,0.001,20,12,0.5,0.125,0.05,10,5
0.0,0.2,0.925,1.75,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,1.75,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
60.0,0.2,0.925,1.75,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
90.0,0.2,0.925,1.75,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
0.0,0.2,0.925,1.9333333333333333,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,1.9333333333333333,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
60.0,0.2,0.925,1.9333333333333333,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
90.0,0.2,0.925,1.9333333333333333,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
0.0,0.2,0.925,2.1166666666666667,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,2.1166666666666667,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
60.0,0.2,0.925,2.1166666666666667,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
90.0,0.2,0.925,2.1166666666666667,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
0.0,0.2,0.925,2.3,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,2.3,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
60.0,0.2,0.925,2.3,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
90.0,0.2,0.925,2.3,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
0.0,0.2,0.925,2.4833333333333334,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,2.4833333333333334,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
60.0,0.2,0.925,2.4833333333333334,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
90.0,0.2,0.925,2.4833333333333334,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
0.0,0.2,0.925,2.666666666666667,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,2.666666666666667,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
60.0,0.2,0.925,2.666666666666667,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
90.0,0.2,0.925,2.666666666666667,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
0.0,0.2,0.925,2.85,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,2.85,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
60.0,0.2,0.925,2.85,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
90.0,0.2,0.925,2.85,1e-06,0.001,20,12,0.5,0.06,0.05,10,5
0.0,0.2,0.925,0.4,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,0.4,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
60.0,0.2,0.925,0.4,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
90.0,0.2,0.925,0.4,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
0.0,0.2,0.925,0.45666666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,0.45666666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
60.0,0.2,0.925,0.45666666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
90.0,0.2,0.925,0.45666666666666667,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
0.0,0.2,0.925,0.5133333333333334,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
30.0,0.2,0.925,0.5133333333333334,3.162277660168379e-06,0.001,20,12,0.5,0.06,0.05,10,5
